session_id,event_type,latency_ms
2,NODE_REMOVED,4.761
2,NODE_REMOVED,5.2627
2,NODE_REMOVED,4.152
2,NODE_REMOVED,5.2379
2,NODE_REMOVED,4.5928
2,NODE_REMOVED,3.1907
2,NODE_MOVED,4.1017
2,NODE_MOVED,4.5991
2,NODE_MOVED,3.3781
2,NODE_MOVED,4.509
2,NODE_MOVED,3.028
2,NODE_MOVED,4.391
2,NODE_MOVED,5.6245
2,NODE_MOVED,4.9161
2,NODE_MOVED,3.4761
2,NODE_MOVED,4.7963
2,NODE_MOVED,5.0704
2,NODE_MOVED,4.1015
2,NODE_MOVED,4.6575
2,NODE_MOVED,5.9449
2,NODE_MOVED,5.3454
2,NODE_MOVED,4.5187
2,NODE_MOVED,4.8739
2,NODE_MOVED,3.9658
2,NODE_MOVED,3.2453
2,NODE_MOVED,4.4952
2,NODE_MOVED,5.385
2,NODE_MOVED,5.6688
2,NODE_MOVED,3.2382
2,NODE_MOVED,5.3864
2,NODE_MOVED,5.4465
2,NODE_MOVED,5.0328
2,NODE_MOVED,5.119
2,NODE_MOVED,3.7223
2,NODE_MOVED,4.698
2,NODE_MOVED,2.5015
2,NODE_MOVED,1.7696
2,NODE_MOVED,2.0623
2,NODE_MOVED,1.8593
2,NODE_MOVED,2.0598
2,NODE_MOVED,2.1934
2,NODE_MOVED,2.1484
2,NODE_MOVED,2.074
2,NODE_MOVED,2.6047
2,NODE_MOVED,2.5383
2,NODE_MOVED,2.6907
2,NODE_MOVED,2.481
2,NODE_MOVED,3.6442
2,NODE_MOVED,5.7987
2,NODE_MOVED,4.4947
2,NODE_MOVED,4.0722
2,NODE_MOVED,5.3295
2,NODE_MOVED,4.726
2,NODE_MOVED,2.757
2,NODE_MOVED,2.5555
2,NODE_MOVED,2.6608
2,NODE_MOVED,2.5138
2,NODE_MOVED,2.7845
2,NODE_MOVED,2.2868
2,NODE_MOVED,2.6291
2,NODE_MOVED,2.1537
2,NODE_MOVED,3.1911
2,NODE_MOVED,2.4164
2,NODE_MOVED,4.1806
2,NODE_MOVED,3.9611
2,NODE_MOVED,2.4734
2,NODE_MOVED,4.3203
2,NODE_MOVED,2.0401
2,NODE_MOVED,2.3625
2,NODE_MOVED,1.9607
2,NODE_MOVED,2.0754
2,NODE_MOVED,1.8969
2,NODE_MOVED,2.0155
2,NODE_MOVED,1.6717
2,NODE_MOVED,1.8524
2,NODE_MOVED,1.9514
2,NODE_MOVED,1.8632
2,NODE_MOVED,1.9455
2,NODE_MOVED,1.907
2,NODE_MOVED,1.6171
2,NODE_MOVED,1.8171
2,NODE_MOVED,2.1734
2,NODE_MOVED,1.6296
2,NODE_MOVED,2.0165
2,NODE_MOVED,2.3126
2,NODE_MOVED,2.2781
2,NODE_MOVED,2.1198
2,NODE_MOVED,1.8212
2,NODE_MOVED,1.9311
2,NODE_MOVED,2.141
2,NODE_MOVED,1.7542
2,NODE_MOVED,2.1653
2,NODE_MOVED,2.1976
2,NODE_MOVED,2.3131
2,NODE_MOVED,1.9485
2,NODE_MOVED,2.4005
2,NODE_MOVED,2.0556
2,NODE_MOVED,1.8988
2,NODE_MOVED,1.8523
2,NODE_MOVED,2.5024
2,NODE_MOVED,2.0034
2,NODE_MOVED,1.9946
2,NODE_MOVED,2.354
2,NODE_MOVED,3.1953
2,NODE_MOVED,2.1349
2,NODE_MOVED,2.2613
2,EDGE_CREATED,2.107
2,EDGE_CREATED,3.3071
2,EDGE_CREATED,2.9624
2,EDGE_CREATED,2.0759
2,EDGE_CREATED,2.2008
2,EDGE_CREATED,2.2217
2,EDGE_CREATED,2.5179
2,EDGE_CREATED,2.196
2,EDGE_CREATED,2.512
2,EDGE_CREATED,2.2795
2,EDGE_CREATED,2.1753
2,EDGE_CREATED,1.9632
2,EDGE_CREATED,2.0132
2,EDGE_CREATED,2.8336
2,EDGE_CREATED,2.4004
2,EDGE_CREATED,2.5114
2,EDGE_CREATED,2.2129
2,EDGE_CREATED,2.8771
2,EDGE_CREATED,2.3776
2,EDGE_CREATED,2.1048
2,EDGE_CREATED,2.0485
2,EDGE_CREATED,1.754
2,EDGE_CREATED,1.7635
2,EDGE_CREATED,1.7433
2,EDGE_CREATED,1.7386
2,EDGE_CREATED,2.2466
2,EDGE_CREATED,2.3785
2,EDGE_CREATED,2.8462
2,EDGE_CREATED,2.1787
2,EDGE_CREATED,2.3192
2,EDGE_CREATED,2.6041
2,EDGE_CREATED,3.0002
2,EDGE_CREATED,3.0741
2,EDGE_CREATED,2.6237
2,EDGE_CREATED,2.9089
2,EDGE_CREATED,2.7963
2,EDGE_CREATED,3.5271
2,EDGE_CREATED,4.009
2,EDGE_CREATED,5.4453
2,EDGE_CREATED,6.076
2,EDGE_CREATED,4.923
2,EDGE_CREATED,3.9931
2,EDGE_CREATED,4.804
2,EDGE_CREATED,4.5746
2,EDGE_CREATED,3.002
2,EDGE_CREATED,3.6497
2,EDGE_CREATED,3.144
2,EDGE_CREATED,4.6663
2,EDGE_CREATED,5.3569
2,EDGE_CREATED,3.5626
2,EDGE_CREATED,4.919
2,EDGE_CREATED,5.0297
2,EDGE_CREATED,3.6036
2,EDGE_CREATED,3.2761
2,EDGE_CREATED,4.8723
2,EDGE_CREATED,3.7047
