"the_geom","objectid_1","park","park_no","facility_n","facility_t","x_coord","y_coord","gisobjid"
"POINT (-87.61109982717862 41.81449894773531)","883","ARMSTRONG (LILLIAN HARDIN)","492.0","BASEBALL JR/SOFTBALL","OUTDOOR","-87.61109983","41.81449895","1524.0"
"POINT (-87.60971037865275 41.8137757995918)","884","ARMSTRONG (LILLIAN HARDIN)","492.0","PLAYGROUND","OUTDOOR","-87.60971038","41.8137758","1525.0"
"POINT (-87.65923857195256 41.87177914734695)","885","ARRIGO (VICTOR)","215.0","FOOTBALL/SOCCER COMBO FLD","OUTDOOR","-87.65923857","41.87177915","1526.0"
"POINT (-87.55735249798504 41.7626348217187)","886","ASHE (ARTHUR) BEACH","459.0","BEACH","OUTDOOR","-87.5573525","41.76263482","1527.0"
"POINT (-87.55781280452504 41.76257420972407)","887","ASHE (ARTHUR) BEACH","459.0","PLAYGROUND","OUTDOOR","-87.5578128","41.76257421","1528.0"
"POINT (-87.55828553166634 41.762188706637964)","888","ASHE (ARTHUR) BEACH","459.0","TENNIS COURT","OUTDOOR","-87.55828553","41.76218871","1529.0"
"POINT (-87.5581313044254 41.762274750438806)","889","ASHE (ARTHUR) BEACH","459.0","TENNIS COURT","OUTDOOR","-87.5581313","41.76227475","1530.0"
"POINT (-87.74818672442213 41.96866399541846)","890","ASHMORE","427.0","PLAYGROUND","OUTDOOR","-87.74818672","41.968664","1531.0"
"POINT (-87.62418441222192 41.81712721092429)","891","ASPEN","321.0","PLAYGROUND","OUTDOOR","-87.62418441","41.81712721","1532.0"
"POINT (-87.65585057120566 41.96661706901279)","892","ASTER","343.0","PLAYGROUND","OUTDOOR","-87.65585057","41.96661707","1533.0"
"POINT (-87.71740513853344 41.94699225360478)","893","ATHLETIC FIELD","80.0","BASKETBALL COURT","OUTDOOR","-87.71740514","41.94699225","1534.0"
"POINT (-87.71736347855689 41.94746526064453)","894","ATHLETIC FIELD","80.0","BASEBALL JR/SOFTBALL","OUTDOOR","-87.71736348","41.94746526","1535.0"
"POINT (-87.71671385689504 41.9481335289858)","895","ATHLETIC FIELD","80.0","BASEBALL JR/SOFTBALL","OUTDOOR","-87.71671386","41.94813353","1536.0"
"POINT (-87.71669554906468 41.94746629126059)","896","ATHLETIC FIELD","80.0","BASEBALL JR/SOFTBALL","OUTDOOR","-87.71669555","41.94746629","1537.0"
"POINT (-87.71669434786992 41.94694919461898)","897","ATHLETIC FIELD","80.0","PLAYGROUND","OUTDOOR","-87.71669435","41.94694919","1538.0"
"POINT (-87.71673561242608 41.9471594843284)","898","ATHLETIC FIELD","80.0","TENNIS COURT","OUTDOOR","-87.71673561","41.94715948","1539.0"
"POINT (-87.71674052866786 41.94729109150341)","899","ATHLETIC FIELD","80.0","TENNIS COURT","OUTDOOR","-87.71674053","41.94729109","1540.0"
"POINT (-87.73762548831887 41.89855905568076)","900","AUGUSTA (CARPENTER)","1021.0","PLAYGROUND","OUTDOOR","-87.73762549","41.89855906","1541.0"
"POINT (-87.77243428886543 41.887703704025895)","901","AUSTIN (HENRY)","1204.0","PLAYGROUND","OUTDOOR","-87.77243429","41.8877037","1542.0"
"POINT (-87.77438197903986 41.88771320049902)","902","AUSTIN (HENRY)","1204.0","WATER PLAYGROUND","OUTDOOR","-87.77438198","41.8877132","1544.0"
"POINT (-87.77856099701427 41.97632959227194)","903","AUSTIN FOSTER","285.0","BASEBALL JR/SOFTBALL","OUTDOOR","-87.778561","41.97632959","1545.0"
"POINT (-87.77926093033618 41.977115584580176)","904","AUSTIN FOSTER","285.0","BASEBALL JR/SOFTBALL","OUTDOOR","-87.77926093","41.97711558","1546.0"
"POINT (-87.77896928190134 41.97586537189061)","905","AUSTIN FOSTER","285.0","PLAYGROUND","OUTDOOR","-87.77896928","41.97586537","1547.0"
"POINT (-87.7661460429368 41.888745873726236)","906","AUSTIN TOWN HALL","207.0","BASKETBALL COURT","OUTDOOR","-87.76614604","41.88874587","1548.0"
"POINT (-87.76559532605964 41.88828633974339)","907","AUSTIN TOWN HALL","207.0","GYMNASIUM","INDOOR","-87.76559533","41.88828634","1550.0"
"POINT (-87.76609858991051 41.888275273837344)","908","AUSTIN TOWN HALL","207.0","POOL (INDOOR)","INDOOR","-87.76609859","41.88827527","1551.0"
"POINT (-87.76550918818172 41.88844405798101)","909","AUSTIN TOWN HALL","207.0","PLAYGROUND","OUTDOOR","-87.76550919","41.88844406","1552.0"
"POINT (-87.59330013791767 41.7434858806832)","910","AVALON","29.0","BASKETBALL COURT","OUTDOOR","-87.59330014","41.74348588","1553.0"
"POINT (-87.59624793282275 41.74159153406384)","911","AVALON","29.0","FOOTBALL/SOCCER COMBO FLD","OUTDOOR","-87.59624793","41.74159153","1554.0"
"POINT (-87.59405625539526 41.741457516331266)","912","AVALON","29.0","FOOTBALL/SOCCER COMBO FLD","OUTDOOR","-87.59405626","41.74145752","1555.0"
"POINT (-87.59416984170583 41.743695336816636)","913","AVALON","29.0","FITNESS CENTER","INDOOR","-87.59416984","41.74369534","1556.0"
"POINT (-87.59421310997371 41.743565248334974)","914","AVALON","29.0","GYMNASIUM","INDOOR","-87.59421311","41.74356525","1557.0"
"POINT (-87.59530719760502 41.74166592369274)","915","AVALON","29.0","BASEBALL JR/SOFTBALL","OUTDOOR","-87.5953072","41.74166592","1558.0"
"POINT (-87.59444590974394 41.74192602080084)","916","AVALON","29.0","BASEBALL JR/SOFTBALL","OUTDOOR","-87.59444591","41.74192602","1559.0"
"POINT (-87.59360154570128 41.74194715115221)","917","AVALON","29.0","BASEBALL JR/SOFTBALL","OUTDOOR","-87.59360155","41.74194715","1560.0"
"POINT (-87.59358384340698 41.74101732259707)","918","AVALON","29.0","BASEBALL JR/SOFTBALL","OUTDOOR","-87.59358384","41.74101732","1561.0"
"POINT (-87.59442795286499 41.74101744103766)","919","AVALON","29.0","BASEBALL JR/SOFTBALL","OUTDOOR","-87.59442795","41.74101744","1562.0"
"POINT (-87.59541318857426 41.74108221248975)","920","AVALON","29.0","BASEBALL JR/SOFTBALL","OUTDOOR","-87.59541319","41.74108221","1563.0"
"POINT (-87.59418045040991 41.74280621418424)","921","AVALON","29.0","POOL (OUTDOOR)","OUTDOOR","-87.59418045","41.74280621","1564.0"
"POINT (-87.59485912972578 41.74300714675612)","922","AVALON","29.0","PLAYGROUND","OUTDOOR","-87.59485913","41.74300715","1565.0"
"POINT (-87.59424803032755 41.74309884480372)","923","AVALON","29.0","SPRAY FEATURE","OUTDOOR","-87.59424803","41.74309884","1566.0"
"POINT (-87.59651452430347 41.74091927503756)","924","AVALON","29.0","BASEBALL SR","OUTDOOR","-87.59651452","41.74091928","1567.0"
"POINT (-87.5972485935555 41.74185900779164)","925","AVALON","29.0","TENNIS COURT","OUTDOOR","-87.59724859","41.74185901","1568.0"
"POINT (-87.59724477638052 41.741572099490725)","926","AVALON","29.0","TENNIS COURT","OUTDOOR","-87.59724478","41.7415721","1569.0"
"POINT (-87.59742216016198 41.741567923611306)","927","AVALON","29.0","TENNIS COURT","OUTDOOR","-87.59742216","41.74156792","1570.0"
"POINT (-87.59741185660822 41.74122784704662)","928","AVALON","29.0","TENNIS COURT","OUTDOOR","-87.59741186","41.74122785","1571.0"
"POINT (-87.59722028821761 41.741231932938305)","929","AVALON","29.0","TENNIS COURT","OUTDOOR","-87.59722029","41.74123193","1572.0"
"POINT (-87.59722398920101 41.74090788425309)","930","AVALON","29.0","TENNIS COURT","OUTDOOR","-87.59722399","41.74090788","1573.0"
"POINT (-87.59348815665757 41.74317364443183)","931","AVALON","29.0","TRACK","OUTDOOR","-87.59348816","41.74317364","1574.0"
"POINT (-87.71549142165551 41.941396685346064)","932","AVONDALE","81.0","BASKETBALL COURT","OUTDOOR","-87.71549142","41.94139669","1575.0"
"POINT (-87.71506101219352 41.94128894038344)","933","AVONDALE","81.0","GYMNASTIC CENTER","INDOOR","-87.71506101","41.94128894","1576.0"
"POINT (-87.71523732852378 41.941289078500304)","934","AVONDALE","81.0","GYMNASIUM","INDOOR","-87.71523733","41.94128908","1577.0"
"POINT (-87.715407006951 41.941713431718156)","935","AVONDALE","81.0","POOL (OUTDOOR)","OUTDOOR","-87.71540701","41.94171343","1578.0"
"POINT (-87.71545552295794 41.941525847440964)","936","AVONDALE","81.0","PLAYGROUND","OUTDOOR","-87.71545552","41.94152585","1579.0"
"POINT (-87.71502429341865 41.94140541854555)","937","AVONDALE","81.0","SPRAY FEATURE","OUTDOOR","-87.71502429","41.94140542","1580.0"
"POINT (-87.65790105117597 41.8042504088283)","938","BACK OF THE YARDS","1063.0","BASKETBALL COURT","OUTDOOR","-87.65790105","41.80425041","1581.0"
"POINT (-87.65783627484103 41.8045652117035)","939","BACK OF THE YARDS","1063.0","HORSESHOE COURT","OUTDOOR","-87.65783627","41.80456521","1582.0"
"POINT (-87.65836042499797 41.80440731956404)","940","BACK OF THE YARDS","1063.0","PLAYGROUND","OUTDOOR","-87.65836042","41.80440732","1583.0"
"POINT (-87.65797630158178 41.804487577398895)","941","BACK OF THE YARDS","1063.0","SPRAY FEATURE","OUTDOOR","-87.6579763","41.80448758","1584.0"
"POINT (-87.6808362179778 41.84713681531817)","942","BARAGA (FREDERICK)","295.0","BASKETBALL COURT","OUTDOOR","-87.68083622","41.84713682","1585.0"
"POINT (-87.68115405864287 41.847146414855196)","943","BARAGA (FREDERICK)","295.0","PLAYGROUND","OUTDOOR","-87.68115406","41.84714641","1586.0"
"POINT (-87.66985319295314 41.703453115673916)","944","BARNARD (ERASTUS)","1205.0","PLAYGROUND","OUTDOOR","-87.66985319","41.70345312","1587.0"
"POINT (-87.67664999140274 41.85252841391454)","945","BARRETT (JOHN)","1022.0","BASKETBALL COURT","OUTDOOR","-87.67664999","41.85252841","1588.0"
"POINT (-87.6765073438769 41.85234408166954)","946","BARRETT (JOHN)","1022.0","PLAYGROUND","OUTDOOR","-87.67650734","41.85234408","1589.0"
"POINT (-87.6498967254879 41.87986250105404)","947","BARTELME (MARY)","542.0","PLAYGROUND","OUTDOOR","-87.64989673","41.8798625","1590.0"
"POINT (-87.6505377247579 41.87984830806657)","948","BARTELME (MARY)","542.0","DOG FRIENDLY AREA","OUTDOOR","-87.65053772","41.87984831","1591.0"
"POINT (-87.64155497140838 41.91624163160325)","949","BAULER (MATHIAS)","365.0","PLAYGROUND","OUTDOOR","-87.64155497","41.91624163","1592.0"
"POINT (-87.59168559598594 41.782555605495986)","950","BEEHIVE","328.0","PLAYGROUND","OUTDOOR","-87.5916856","41.78255561","1593.0"
"POINT (-87.72354098887428 41.91242490851431)","951","BEILFUSS (ALBERT W.)","1003.0","PLAYGROUND","OUTDOOR","-87.72354099","41.91242491","1595.0"
"POINT (-87.79599912287385 41.935130157612925)","952","BELL (GEORGE,JR.)","121.0","BASKETBALL COURT","OUTDOOR","-87.79599912","41.93513016","1596.0"
"POINT (-87.79652644349751 41.936084956067916)","953","BELL (GEORGE,JR.)","121.0","BASEBALL JR/SOFTBALL","OUTDOOR","-87.79652644","41.93608496","1597.0"
"POINT (-87.7959648832224 41.93572411304609)","954","BELL (GEORGE,JR.)","121.0","BASEBALL JR/SOFTBALL","OUTDOOR","-87.79596488","41.93572411","1598.0"
"POINT (-87.7964117740043 41.935108061675976)","955","BELL (GEORGE,JR.)","121.0","PLAYGROUND","OUTDOOR","-87.79641177","41.93510806","1599.0"
"POINT (-87.79611639357537 41.934750647970105)","956","BELL (GEORGE,JR.)","121.0","SPRAY FEATURE","OUTDOOR","-87.79611639","41.93475065","1600"
"POINT (-87.79592819370582 41.934867716545945)","957","BELL (GEORGE,JR.)","121.0","TENNIS COURT","OUTDOOR","-87.79592819","41.93486772","1601.0"
"POINT (-87.79647828953142 41.93485063201383)","958","BELL (GEORGE,JR.)","121.0","TENNIS COURT","OUTDOOR","-87.79647829","41.93485063","1602.0"
"POINT (-87.79592929490578 41.935433441739804)","959","BELL (GEORGE,JR.)","121.0","VOLLEYBALL","OUTDOOR","-87.79592929","41.93543344","1603.0"
"POINT (-87.65513190898658 41.99485800797449)","960","BERGER (ALBERT)","1255.0","CULTURAL CENTER","SPECIAL","-87.65513191","41.99485801","1604.0"
"POINT (-87.65516867530032 41.994858225186896)","961","BERGER (ALBERT)","1255.0","GALLERY","SPECIAL","-87.65516868","41.99485823","1605.0"
"POINT (-87.6549518475946 41.99552007064776)","962","BERGER (ALBERT)","1255.0","PLAYGROUND","OUTDOOR","-87.65495185","41.99552007","1606.0"
"POINT (-87.55593030010034 41.73152318741865)","963","BESSEMER (HENRY)","12.0","MINI-PITCH","OUTDOOR","-87.55592295","41.73144127","1607.0"
"POINT (-87.55723057538836 41.73335026111401)","964","BESSEMER (HENRY)","12.0","BASKETBALL COURT","OUTDOOR","-87.55723058","41.73335026","1608.0"
"POINT (-87.55721915589243 41.732394963485746)","965","BESSEMER (HENRY)","12.0","FOOTBALL/SOCCER COMBO FLD","OUTDOOR","-87.55721916","41.73239496","1609.0"
"POINT (-87.5578000119284 41.733314571070075)","966","BESSEMER (HENRY)","12.0","FOOTBALL/SOCCER COMBO FLD","OUTDOOR","-87.55780001","41.73331457","1610.0"
"POINT (-87.55906806326176 41.73331985627814)","967","BESSEMER (HENRY)","12.0","GARDEN","OUTDOOR","-87.55906806","41.73331986","1611.0"
"POINT (-87.5567065202301 41.73307819462228)","968","BESSEMER (HENRY)","12.0","GYMNASIUM","INDOOR","-87.55670652","41.73307819","1612.0"
"POINT (-87.5583496611373 41.73336252247481)","969","BESSEMER (HENRY)","12.0","HANDBALL/RACQUET (OUT)","OUTDOOR","-87.55834966","41.73336252","1613.0"
"POINT (-87.55669591876699 41.73154744261479)","970","BESSEMER (HENRY)","12.0","BASEBALL JR/SOFTBALL","OUTDOOR","-87.55669592","41.73154744","1614.0"
"POINT (-87.55673887971594 41.732205223851054)","971","BESSEMER (HENRY)","12.0","BASEBALL JR/SOFTBALL","OUTDOOR","-87.55673888","41.73220522","1615.0"
"POINT (-87.5575789093792 41.73269686934151)","972","BESSEMER (HENRY)","12.0","BASEBALL JR/SOFTBALL","OUTDOOR","-87.55757891","41.73269687","1616.0"
"POINT (-87.55832996513375 41.73265429314248)","973","BESSEMER (HENRY)","12.0","BASEBALL JR/SOFTBALL","OUTDOOR","-87.55832997","41.73265429","1617.0"
"POINT (-87.55605976988191 41.7331410387875)","974","BESSEMER (HENRY)","12.0","POOL (OUTDOOR)","OUTDOOR","-87.55605977","41.73314104","1618.0"
"POINT (-87.5561610007098 41.732356129345014)","975","BESSEMER (HENRY)","12.0","PLAYGROUND","OUTDOOR","-87.556161","41.73235613","1619.0"
"POINT (-87.55596208062713 41.73200126667072)","976","BESSEMER (HENRY)","12.0","SPRAY FEATURE","OUTDOOR","-87.55596208","41.73200127","1620.0"
"POINT (-87.55743956050462 41.73178048492452)","977","BESSEMER (HENRY)","12.0","BASEBALL SR","OUTDOOR","-87.55743956","41.73178048","1621.0"
"POINT (-87.5578484598479 41.73211712283225)","978","BESSEMER (HENRY)","12.0","BASEBALL SR","OUTDOOR","-87.55784846","41.73211712","1622.0"
"POINT (-87.55617585503894 41.731123829235564)","979","BESSEMER (HENRY)","12.0","TENNIS COURT","OUTDOOR","-87.55617586","41.73112383","1623.0"
"POINT (-87.55583498017891 41.731126432866816)","980","BESSEMER (HENRY)","12.0","TENNIS COURT","OUTDOOR","-87.55583498","41.73112643","1624.0"
"POINT (-87.55600538861725 41.73112758581768)","981","BESSEMER (HENRY)","12.0","TENNIS COURT","OUTDOOR","-87.55600539","41.73112759","1625.0"
"POINT (-87.55635281723934 41.73112502599782)","982","BESSEMER (HENRY)","12.0","TENNIS COURT","OUTDOOR","-87.55635282","41.73112503","1626.0"
"POINT (-87.55775344871893 41.73347654062249)","983","BESSEMER (HENRY)","12.0","TRACK","OUTDOOR","-87.55775345","41.73347654","1627.0"
"POINT (-87.68450132040891 41.708076545861815)","984","BEVERLY","254.0","FOOTBALL/SOCCER COMBO FLD","OUTDOOR","-87.68450132","41.70807655","1628.0"
"POINT (-87.68396977453624 41.707541061167525)","985","BEVERLY","254.0","BASEBALL JR/SOFTBALL","OUTDOOR","-87.68396977","41.70754106","1629.0"
"POINT (-87.68402050283069 41.708500623498814)","986","BEVERLY","254.0","BASEBALL JR/SOFTBALL","OUTDOOR","-87.6840205","41.70850062","1630.0"
"POINT (-87.68426374167122 41.708931861266414)","987","BEVERLY","254.0","BASEBALL JR/SOFTBALL","OUTDOOR","-87.68426374","41.70893186","1631.0"
"POINT (-87.68502283044293 41.70850628262952)","988","BEVERLY","254.0","BASEBALL JR/SOFTBALL","OUTDOOR","-87.68502283","41.70850628","1632.0"
"POINT (-87.68502994386478 41.709601344091844)","989","BEVERLY","254.0","PLAYGROUND","OUTDOOR","-87.68502994","41.70960134","1633.0"
"POINT (-87.68424826410669 41.70937468738638)","990","BEVERLY","254.0","VOLLEYBALL (SAND)","OUTDOOR","-87.68424826","41.70937469","1634.0"
"POINT (-87.68513091179628 41.709769334388845)","991","BEVERLY","254.0","SPRAY FEATURE","OUTDOOR","-87.68513091","41.70976933","1635.0"
"POINT (-87.6849005857801 41.707451295029415)","992","BEVERLY","254.0","BASEBALL SR","OUTDOOR","-87.68490059","41.7074513","1636.0"
"POINT (-87.68381530967898 41.706689510311115)","993","BEVERLY","254.0","TENNIS COURT","OUTDOOR","-87.68381531","41.70668951","1637.0"
"POINT (-87.68364620103858 41.706693078719596)","994","BEVERLY","254.0","TENNIS COURT","OUTDOOR","-87.6836462","41.70669308","1638.0"
"POINT (-87.68364891410027 41.70702341040172)","995","BEVERLY","254.0","TENNIS COURT","OUTDOOR","-87.68364891","41.70702341","1639.0"
"POINT (-87.68383009814492 41.707019910241314)","996","BEVERLY","254.0","TENNIS COURT","OUTDOOR","-87.6838301","41.70701991","1640.0"
"POINT (-87.68380397186723 41.70953501754403)","997","BEVERLY","254.0","VOLLEYBALL","OUTDOOR","-87.68380397","41.70953502","1641.0"
"POINT (-87.61524689937065 41.81283360091038)","998","BIRCH","322.0","PLAYGROUND","OUTDOOR","-87.6152469","41.8128336","1642.0"
"POINT (-87.59291698249159 41.79191236172431)","999","BIXLER (RAY)","1083.0","PLAYGROUND","OUTDOOR","-87.59291698","41.79191236","1643.0"
"POINT (-87.5927585923966 41.791974029635796)","1000","BIXLER (RAY)","1083.0","SPRAY FEATURE","OUTDOOR","-87.59275859","41.79197403","1644.0"
"POINT (-87.75307589467208 41.92303955866253)","1001","BLACKHAWK","122.0","FOOTBALL/SOCCER COMBO FLD","OUTDOOR","-87.75307589","41.92303956","1647.0"
"POINT (-87.75199880461923 41.92285780404605)","1002","BLACKHAWK","122.0","GYMNASIUM","INDOOR","-87.7519988","41.9228578","1648.0"
"POINT (-87.7521988491606 41.92285391974069)","1003","BLACKHAWK","122.0","POOL (INDOOR)","INDOOR","-87.75219885","41.92285392","1649.0"
"POINT (-87.75327618609705 41.9225677753472)","1004","BLACKHAWK","122.0","BASEBALL JR/SOFTBALL","OUTDOOR","-87.75327619","41.92256778","1650.0"
"POINT (-87.75263430176415 41.92299362301904)","1005","BLACKHAWK","122.0","BASEBALL JR/SOFTBALL","OUTDOOR","-87.7526343","41.92299362","1651.0"
"POINT (-87.75330177056709 41.92343107751069)","1006","BLACKHAWK","122.0","BASEBALL JR/SOFTBALL","OUTDOOR","-87.75330177","41.92343108","1652.0"
"POINT (-87.75178757310931 41.92316895745913)","1007","BLACKHAWK","122.0","PLAYGROUND","OUTDOOR","-87.75178757","41.92316896","1653.0"
"POINT (-87.75215221131957 41.923110930416435)","1008","BLACKHAWK","122.0","SPRAY FEATURE","OUTDOOR","-87.75215221","41.92311093","1654.0"
"POINT (-87.75207628959153 41.92356412818156)","1009","BLACKHAWK","122.0","MINI-PITCH","OUTDOOR","-87.75206867","41.92348222","1655.0"
"POINT (-87.75191929285606 41.92356333332608)","1010","BLACKHAWK","122.0","MINI-PITCH","OUTDOOR","-87.75191167","41.92348143","1656.0"
