Ruta,Origen,Destino,route_length,route_time,rain_length,heat_length,wind_length,rh_length,,
"[261268569, 310336913, 310336917, 310336918, 310336919, 310336954, 310336971, 310336998, 256170778, 256170712, 261125677, 261160027, 261156223, 256170711, 261311246, 289549880, 105254030, 261308456, 287487748, 287487813, 256170709, 256170708, 261295044, 287486474, 287486493, 287486475, 256170706, 7786136948, 7786136953, 369630790, 266649142, 310319149, 26703426, 9194526721, 26703434, 26703435, 26703510, 26703625, 26703636, 287237745, 287237987, 287237906, 1272698314, 287238171, 709393174, 25779174, 4503178589, 4503178601, 709393461, 287261388, 258023775, 25779189, 10273279149, 287261610, 12064652336, 10273279150, 1105813012, 5967446823, 8815131638, 709361059, 256613299, 256612740, 7015619011, 27440209, 27440253, 27440211, 27440212, 27440213, 27440214, 27440215, 27440217]",261268569,27440217,18051,965,965,281209501,4454615,74593888,20250610,t00z
"[263985434, 158730531, 263985433, 306047304, 306047305, 306047306, 306047307, 306047308, 10058337707, 306047309, 7413126429, 7413126428, 307940891, 307940886, 307940846, 11337127508, 307940832, 6969680327, 6969680316, 308435154, 7784238155, 9345003375, 12228522724, 7784238135, 7784238150, 7784238136, 7784238137, 7784238088, 7784238097, 7784238085, 7784238101, 7784238109, 263399268, 12228487119, 12228487117, 734844578, 366310702, 366310125, 296373826, 48991450, 8725822327, 296370790, 1594888735, 296370420, 296370597, 296369597, 296370896, 296370957, 296371089, 4255701177, 296371182, 296371197, 296371331, 377189560, 377189436, 369872302, 261170559, 261170558, 43510493, 2424399938, 261170556, 261170554, 43513140, 369882174, 258967486, 13032331591, 13032366949, 13032331588, 13032366990, 13032331594, 13032331595, 13032331597, 9506327662, 13032367084, 13032367094, 13032367109, 13032367127, 13032366904, 13032367130, 261114521, 1346008492, 4332627045, 261207092, 261245294, 261202194, 261119848, 261336479, 2470391253, 261163657, 261163479, 261163658, 3224387928, 261163659, 261163660, 261123897, 261163661, 261163662, 261157761, 261163663, 261163664, 261163665, 261118578, 261163666, 261163668, 261163669, 261163670, 261163671, 261250133, 261250131, 261250129]",263985434,261250129,10965,835,835,243251282,3964693,64521050,20250610,t00z
"[257157069, 286900099, 257173249, 257110950, 2869202036, 26794602, 2869210430, 26794585, 26794629, 26794549, 250278876, 262227313, 307937787, 4387385670, 308430986, 263901688, 250278879, 308430985, 308430981, 2662779626, 26817980, 308441090, 308441085, 308441076, 308441105, 308441083, 250278943, 309802308, 2480840766, 2401539881, 2480840763, 5891205778, 5891205999, 12177603203, 12177263316, 5891205992, 5891205773, 9234140510, 5891205771, 5891205768, 263351194, 13115829501, 263353496, 26703907, 2998820403, 26703916, 26703891, 25779161, 739968328, 309816217, 261102963, 261252008, 261324395, 418158489, 418158488, 418158486, 418158485, 418158483, 9223647332, 418158482, 418158481, 418158480, 418158479, 2607288792, 736014594, 736014597, 261143294, 261282591, 261132804, 4403665401, 4403665402, 261132807, 261151963, 261197749]",257157069,261197749,11166,803,803,233942494,3915026,63258346,20250610,t00z
"[261115429, 289550181, 289549956, 316329708, 289549940, 316329711, 316160693, 261194278, 316160718, 261194276, 316319220, 316325936, 316309303, 157719711, 369630919, 9159603376, 369630920, 261194267, 369630921, 369630931, 369630968, 369631002, 369631021, 369631024, 369631051, 409178838, 11330287170, 9194526721, 26703434, 26703435, 26703510, 26703625, 26703636, 287237745, 26703638, 8499816162, 26703640, 26703646, 26703648, 26703650, 26704169, 2998824568, 250755950, 26703907, 2998820403, 26703916, 26703891, 345389426, 344250479, 344250481, 11837780895, 344250484, 262367828, 344250624, 5891694372, 5891694373, 5891694368, 5891694365, 5891694364, 5891694359, 5891694356, 5891694353, 314768945, 4741911430, 262367729, 262367725, 5891694338, 314768946, 354053082, 354053085, 261114939, 261114937, 261114936, 261114935]",261115429,261114935,13578,749,749,218087553,3512095,57684419,20250610,t00z
"[26699799, 26699807, 287237176, 287236713, 287237987, 287237906, 1272698314, 287238171, 709393174, 287238679, 709393026, 709393011, 709393336, 257957641, 257957640, 257957639, 310697817, 619626336, 619626337, 296374736]",26699799,296374736,13917,596,596,173707326,2835979,46014250,20250610,t00z
"[305912687, 305912646, 305912690, 305912057, 261185535, 306083048, 261250179, 306084604, 306084612, 256170556, 9194526725, 263372855, 263372613, 261160351, 261250167, 261250165, 261181609, 261250163, 158736266, 1286987023, 261250159, 261178084, 425580769, 261199734, 261139204, 261139259, 256171155, 318028685, 313441135, 256171157, 256171159, 261250154, 261145124, 261200366, 4083416912, 261223364, 367756530, 5586599461, 261191256, 256171163, 367756255, 4081947278, 261142609, 261142679, 4081947219, 261250102, 261250100, 261149697, 261250098, 4081947225, 261209740, 261250094, 3655147966, 13032428327, 261215999, 261250147, 261250144, 261250140, 5587068531, 261146874, 261207103, 261202213, 261250137, 261250135, 261163671, 261163672, 261163673, 261163674, 261163675, 261163676, 261163677, 261163678, 261163679]",305912687,261163679,8489,677,677,197317917,3046631,51961097,20250610,t00z
"[261250338, 261230020, 261158133, 261147362, 261250342, 261343866, 261233969, 261224600, 261343589, 261343596, 261298526, 261298552, 261280422, 365457025, 2168616088, 2168616103, 261299414, 365453420, 365453339, 365453626, 266716480, 26699785, 266716491, 288470605, 26699799, 26699807, 26703423, 310319149, 26703426, 261212957, 369631051, 409178838, 261160354, 261160352, 261160351, 261250167, 261250165, 261181609, 261250163, 158736266, 1286987023, 261250159, 261178084, 425580769, 261199734, 261139204, 261139259, 256171155, 318028685, 313441135, 256171157, 256171159, 261250154, 261145124, 261200366, 4083416912, 261223364, 367756530, 5586599461, 261191256, 256171163, 367756255, 4081947278, 261142609, 261142679, 4081947219, 261250102, 261250100, 261149697, 261250098, 4081947225, 261209740, 261250094, 3655147966, 13032428327, 261215999, 261250147, 261250144, 261250140, 5587068531, 261146874, 261207103, 261202213, 261250137, 261250135, 261163671, 261250133, 261250131, 261250129, 261198391, 261137236, 261250123, 261250121, 733198094, 261221010, 9924006959, 261221008, 261221007, 261221005, 261222194, 1311284988]",261250338,1311284988,14809,1016,1016,295995747,4475465,78141891,20250610,t00z
"[153011804, 2758167240, 263985445, 263985435, 263985434, 158730531, 263985433, 306047304, 306047305, 306047306, 306047307, 306047308, 10058337707, 306047309, 7413126429, 7413126428, 307940891, 307940886, 307940846, 11337127508, 307940832, 6969680327, 6969680316, 308435154, 7784238155, 9345003375, 12228522724, 7784238135, 7784238150, 7784238136, 7784238137, 7784238088, 7784238097, 7784238085, 7784238101, 7784238109, 263399268, 12228487119, 12228487117, 734844578, 734844567, 260098499, 260098503, 260098507, 9234195286, 35034247, 5455496008, 26704169, 2998824568, 250755950, 26703907, 2998820403, 26703916, 26703891, 25779161, 739968328, 309816217, 25779173, 25779174, 4503178589, 4503178601, 709393461, 287261388, 258023775, 25779189, 10273279149, 287261610, 12064652336, 10273279150, 1105813012, 5967446823, 8815131638, 709361059, 256613299, 256612740, 7015619011, 27440209, 27440253, 27440211, 27440212, 27440213, 27440214, 27440215, 27440217, 261154311, 27440223, 27440222, 27440221, 27440220, 27440219, 27440218]",153011804,27440218,13129,812,812,236634189,3973516,63631788,20250610,t00z
"[256170712, 261125677, 261160027, 261156223, 256170711, 261311246, 289549880, 105254030, 261308456, 287487748, 287487813, 256170709, 256170708, 261295044, 287486474, 287486493, 287486475, 256170706, 7786136948, 7786136953, 369630790, 266649142, 310319149, 26703426, 9194526721, 26703434, 26703435, 26703510, 26703625, 26703636, 287237745, 26703638, 8499816162, 26703640, 26703646, 26703648, 26703650, 26704169, 2998824568, 250755950, 26703907, 2998820403, 26703916, 26703891, 25779161, 739968328, 309816217, 261102963, 261252008, 261324395, 418158489, 418158488, 418158486, 418158485, 418158483, 9223647332, 418158482, 418158481, 418158480, 418158479, 2607288792, 736014594, 736014597, 261143294, 261143292, 3772730265]",256170712,3772730265,14964,790,790,230214848,3657802,61374543,20250610,t00z
"[4081947037, 305911078, 305911015, 305910921, 305910915, 305910909, 305910904, 305910829, 305910893, 305910891, 4081947333, 4081947334, 256170703, 306083048, 261250179, 306084604, 306084612, 256170556, 263372924, 11330287170, 409178838, 369631051, 369631024, 369631021, 369631002, 369630968, 369630931, 369630921, 261194267, 369630920, 9159603376, 369630919, 157719711, 316309147, 365061608, 12379462011, 12379462006, 316319260, 316324910, 316325745, 316325766, 316325886, 256170566, 317747338, 317747461, 316328114, 317749784, 317749777, 317750132, 317749680, 317750090, 157719704, 348167529, 845883305, 12379450100, 348167785, 348167897, 348168258, 348168276, 12379405633, 348168287, 294178233, 440907217, 440907340, 440907517, 12379405627, 12379405626, 12379405621, 440907587, 440912017, 157738013, 845883350, 4335994222, 12379405620, 4335994221, 440911721, 845883405, 315399580, 12379405612, 294178151, 315399721, 315399785, 12488799120, 294177965, 315398303, 315398373, 315398374, 294177835, 845887255, 4332497521, 294177760, 294177671, 294177641, 294177583, 294177629, 294177430, 10976515169, 368016410, 314782297, 157737999, 314782345, 314782378, 261207114, 364998447, 364998429, 261119844, 261259456, 364998390, 6489536423, 364998375, 364998372, 364999232, 1369171980, 12488799128, 261259450, 261198410, 261258132, 261137218, 5405774428, 261259448, 551436855, 551436826, 261221018, 551436882, 551437001, 551437316, 551437163, 737123209, 5970470817, 5970470811, 5970470809, 5970470805, 5970470799, 5970470794, 5970470789, 5970470786, 5970469778, 5970469777, 5970469774, 5970469772, 5970469773, 5970469775]",4081947037,5970469775,13153,998,998,290878750,4597910,75709587,20250610,t00z
